Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Children,Total_Spent,Total_Purchases,Online_Ratio,Store_Ratio,Customer_Tenure_Days,Total_Accepted_Campaigns,Campaign_Response_Flag,Cluster_KMeans,Conversion_Level
Graduation,Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,68,0,1617,25,0.6923076923076923,0.15384615384615385,4862.0,0,0,1,Alta Conversão
Graduation,Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,71,2,27,6,0.2857142857142857,0.2857142857142857,4016.0,0,0,0,Baixa Conversão
Graduation,Together,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,60,0,776,21,0.45454545454545453,0.45454545454545453,4413.766375545852,0,0,1,Alta Conversão
Graduation,Together,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,41,1,53,8,0.2222222222222222,0.4444444444444444,3956.0,0,0,0,Baixa Conversão
PhD,Married,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,44,1,422,19,0.4,0.3,4413.766375545852,0,0,1,Alta Conversão
Master,Together,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,58,1,716,22,0.43478260869565216,0.43478260869565216,4344.0,0,0,1,Alta Conversão
Graduation,Divorced,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,54,1,590,21,0.45454545454545453,0.3181818181818182,4413.766375545852,0,0,1,Alta Conversão
PhD,Married,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,40,1,169,10,0.36363636363636365,0.36363636363636365,4379.0,0,0,0,Baixa Conversão
PhD,Together,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,51,1,46,6,0.42857142857142855,0.2857142857142857,4439.0,0,0,0,Baixa Conversão
PhD,Together,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,75,2,49,2,0.3333333333333333,0.0,4413.766375545852,1,1,0,Baixa Conversão
Graduation,Married,52247.25135379061,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,42,1,19,4,0.2,0.4,4413.766375545852,0,0,0,Baixa Conversão
Basic,Married,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,49,0,61,6,0.2857142857142857,0.42857142857142855,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Divorced,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,66,0,1102,16,0.4117647058823529,0.47058823529411764,4413.766375545852,0,0,1,Alta Conversão
Master,Divorced,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,73,2,310,15,0.4375,0.3125,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Married,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38,0,46,5,0.16666666666666666,0.5,4678.0,0,0,0,Baixa Conversão
PhD,Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,79,0,1315,26,0.48148148148148145,0.4444444444444444,4413.766375545852,2,1,2,Média Conversão
Graduation,Married,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,45,2,96,9,0.3,0.3,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Together,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,79,0,317,13,0.35714285714285715,0.42857142857142855,4413.766375545852,0,0,0,Baixa Conversão
Master,Married,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,76,1,1782,26,0.5555555555555556,0.3333333333333333,4413.766375545852,1,1,2,Média Conversão
2n Cycle,Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,40,1,133,8,0.3333333333333333,0.3333333333333333,4891.0,0,0,0,Baixa Conversão
